market,mean_funding
 3D ,3795278.5
 3D Printing ,12464000
 3D Technology ,3533333.33
 Accounting ,33965669.38
 Ad Targeting ,13383657.17
 Advanced Materials ,0
 Adventure Travel ,353750
 Advertising ,17881682.78
 Advertising Exchanges ,75511200
 Advertising Networks ,3750000
 Advertising Platforms ,10918933.33
 Advice ,8110064.22
 Aerospace ,24154174.56
 Agriculture ,20675337.55
 Algorithms ,545000
 All Markets ,15368623.8
 All Students ,7969000
 Alumni ,610000
 Analytics ,20246034.06
 Android ,4425278
 Angels ,1600000
 Animal Feed ,4600000
 App Discovery ,1850000
 App Marketing ,6462873.5
 App Stores ,1604250
 Application Performance Monitoring ,11807666.67
 Application Platforms ,6132384.88
 Apps ,3656174.09
 Architecture ,21311683.67
 Archiving ,13010000
 Art ,1321428.57
 Artificial Intelligence ,2421166.67
 Artists Globally ,1059039.75
 Assisitive Technology ,1300000
 Auctions ,7400122.31
 Audio ,8711561.54
 Augmented Reality ,1418000
 Auto ,2850000
 Automotive ,33675700.63
 B2B ,5995197.4
 Babies ,783333.33
 Baby Accessories ,0
 Baby Boomers ,167000
 Banking ,24971130.67
 Batteries ,102405349.2
 Beauty ,11762703.31
 Bicycles ,150000
 Big Data ,14693387.35
 Big Data Analytics ,14776478.88
 Billing ,23918000
 Bio-Pharm ,68668086.5
 Bioinformatics ,2496109.33
 Biometrics ,500000
 Biotechnology ,23757027.28
 Biotechnology and Semiconductor ,13486929
 Bitcoin ,6665363.19
 Blogging Platforms ,9983961.85
 Boating Industry ,966000
 Brand Marketing ,9833485.83
 Bridging Online and Offline ,642500
 Broadcasting ,43891666.67
 Brokers ,46089383
 Browser Extensions ,34004166.67
 Business Analytics ,3754833.17
 Business Development ,1756724.67
 Business Information Systems ,7759333.33
 Business Intelligence ,12836173.68
 Business Productivity ,1304000
 Business Services ,21313530.17
 CRM ,6416886.76
 Cable ,8704000
 Career Management ,7914935.06
 Career Planning ,3837500
 Cars ,4482437.11
 Celebrity ,5191666.67
 Certification Test ,6500000
 Charity ,746250
 Charter Schools ,2098333.33
 Chat ,12691666.67
 Chemicals ,201742775
 Classifieds ,378333.33
 Clean Energy ,15962571.43
 Clean Technology ,43284177.79
 Clinical Trials ,1271000
 Cloud Computing ,14756055.29
 Cloud Data Services ,71470329.16
 Cloud Infrastructure ,20299916
 Cloud Management ,25647354
 Cloud Security ,32382730.62
 Coffee ,22855500
 Collaboration ,10933457.74
 Collaborative Consumption ,2261111.11
 Collectibles ,261333.33
 College Campuses ,100000
 College Recruiting ,114000
 Colleges ,9419766.8
 Commercial Real Estate ,5052777.78
 Commercial Solar ,2500000
 Commodities ,8020000
 Communications Hardware ,104741093.1
 Communications Infrastructure ,7221478.56
 Communities ,93736373.3
 Comparison Shopping ,2568229.67
 Computer Vision ,6097143.75
 Computers ,17388700.75
 Concerts ,6003125
 Construction ,100817396.8
 Consulting ,6985832.16
 Consumer Behavior ,3110000
 Consumer Electronics ,24368329.82
 Consumer Goods ,3770951.83
 Consumer Internet ,4012193.19
 Consumers ,23394876.95
 Contact Management ,4032500.33
 Content ,10720600.58
 Content Creators ,201914000
 Content Delivery ,28420000
 Content Discovery ,3831794.71
 Content Syndication ,12488750
 Contests ,10000
 Cooking ,11700628
 Corporate IT ,11601105
 Corporate Training ,1670446
 Corporate Wellness ,6118000
 Cosmetic Surgery ,57559.5
 Cosmetics ,1716666.67
 Coupons ,3625769.23
 Coworking ,18200000
 Craft Beer ,113636.29
 Craigslist Killers ,6934687.5
 Creative ,6518110.12
 Creative Industries ,19044025
 Credit ,144422857.1
 Credit Cards ,39539000
 Crowdfunding ,2668892.86
